"RIDGESTONE KONSTRUCT","BLK 4 LOT 14 PINALAD RD, PINAGBUHATAN","SER CONSTRUCTION SERVICES","BLK 4 LOT 14 PINALAD RD","PINAGBUHATAN","14.5429135","121.0982593"
"MANAY PROPERTIES INC.","BLK 4 LOT 2, KAUNLARAN HOA HOMES, NAGPAYONG 2, PINAGBUHATAN","APT LESSOR - APARTMENT RESIDENTIAL","BLK 4 LOT 2, KAUNLARAN HOA HOMES, NAGPAYONG 2","PINAGBUHATAN","14.5493464","121.099429"
"MELINDA ROOM RENTAL","BLK 4 LOT 21, KAUNLARAN HOMES, NAGPAYONG 2, PINAGBUHATAN","APT LESSOR ROOM FOR RENT","BLK 4 LOT 21, KAUNLARAN HOMES, NAGPAYONG 2","PINAGBUHATAN","14.5404803","121.1027318"
"ORIX CONSTRUCTION & DEVELOPMENT CORPORATION","BLK 4 LOT 26 RUBY CORNER EMERALD ST., GREENWOODS, PINAGBUHATAN","SER CONSTRUCTION SERVICES","BLK 4 LOT 26 RUBY CORNER EMERALD ST., GREENWOODS","PINAGBUHATAN","14.5544348","121.0978102"
"CASJR CONSTRUCTION SUB-CONTRACTOR","BLK 5 LOT 1 QUIRINO ST., PINAGBUHATAN","SER CONSTRUCTION SERVICES","BLK 5 LOT 1 QUIRINO ST.","PINAGBUHATAN","14.5493464","121.099429"
"SAMCHIQUE CLOTHIER SHOP","BLK 5 LOT 1 VILLA BERNARDO COMPOUND, V. CALIWAG ST., PINAGBUHATAN","RET RTW RETAILER","BLK 5 LOT 1 VILLA BERNARDO COMPOUND, V. CALIWAG ST.","PINAGBUHATAN","14.5600636","121.0880018"
"GEN AND RICS DENTAL CLINIC","BLK 5 LOT 1, LUZVIMINDA HOA, EUSEBIO AVE., KENNETH RD., PINAGBUHATAN","DEN DENTAL CLINIC","BLK 5 LOT 1, LUZVIMINDA HOA, EUSEBIO AVE., KENNETH RD.","PINAGBUHATAN","14.543632","121.106158"
"VONALYN HARDWARE","BLK 5 LOT 11 MAN ATIS ST., PINAGBUHATAN","RET HARDWARE","BLK 5 LOT 11 MAN ATIS ST.","PINAGBUHATAN","14.5523922","121.1050007"
"BERLING'S UNOPROPERTY SPACE RENTAL","BLK 5 LOT 13 SANDOVAL AVE., PINAGBUHATAN","APT COMMERCIAL UNIT","BLK 5 LOT 13 SANDOVAL AVE.","PINAGBUHATAN","14.5622707","121.0942166"
"JUGGER-NAUT AQUATIC-PET ONLINE SHOP","BLK 5 LOT 14, MOLAVE ST VILLA MAGLENTE, PINAGBUHATAN","RET RET ONLINE SHOPPING","BLK 5 LOT 14, MOLAVE ST VILLA MAGLENTE","PINAGBUHATAN","14.5437331","121.1036369"
