"FIRST BALFOUR INC.","5/F ROCKWELL BUSINESS CENTER, 3 ORTIGAS AVENUE","SER CONSTRUCTION SERVICES","5/F ROCKWELL BUSINESS CENTER","3 ORTIGAS AVENUE","14.5901484","121.0679744"
"ROBROS INCORPORATED","UNIT 1215 AIC BURGUNDY EMPIRE TOWER, ADB AVE. ORTIGAS CTR. SAN ANTONIO","SER SERVICES","UNIT 1215 AIC BURGUNDY EMPIRE TOWER","ADB AVE. ORTIGAS CTR. SAN ANTONIO","14.9481639","120.089654"
"LUCKY CIRCLE CORPORATION","# 2, BANNER ST., CORNER CANLEY ROAD, Bagong Ilog","SER SERVICES; WSE WAREHOUSE","# 2, BANNER ST., CORNER CANLEY ROAD","BAGONG ILOG","14.5709243","121.068859"
"CATENA SECURITY, INC.","#142 FORTUNE BLD PASIG BLVD., BAGONG ILOG","SER SECURITY SERVICES","#142 FORTUNE BLD PASIG BLVD.","BAGONG ILOG","14.5657121","121.0659189"
"PERSONAL SECURITY SYSTEMS, INC.","#142 FORTUNE BLD PASIG BLVD., BAGONG ILOG","SER SECURITY SERVICES","#142 FORTUNE BLD PASIG BLVD.","BAGONG ILOG","14.5657121","121.0659189"
"5G SECURITY INC.","#142 PASIG BLVD., BAGONG ILOG","APT COMMERCIAL UNIT; IN6 HOLDINGS (MAIN OFFICE)","#142 PASIG BLVD.","BAGONG ILOG","14.565656","121.065924"
"LUMIERE RESIDENCES CONDOMINIUM CORPORATION","#182, PASIG BLVD. COR. SHAW BLVD., BAGONG ILOG","ADM NON STOCK, NON PROFIT","#182, PASIG BLVD. COR. SHAW BLVD.","BAGONG ILOG","14.5699481","121.0667338"
"NEW KING ARTHURS PALACE","#19 BUENAVENTURA ST., BAGONG ILOG","FIX BEER; FIX CIGARETTE; FIX RETAILER - LOCAL LIQUOR; MOT MOTEL / LODGE; RES RESTAURANT","#19 BUENAVENTURA ST.","BAGONG ILOG","14.5653911","121.06934"
"CHAESON CORPORATION","#2 AVIS ST., BAGONG ILOG","APT COMMERCIAL BUILDING; RET RETAILER; WSE WAREHOUSE; WSR WHOLESALER; SER SERVICES","#2 AVIS ST.","BAGONG ILOG","14.5622301","121.0716603"
"DINARRETECH AND CONTRACTORS, INC.","#3 VALIENTE ST., BAGONG ILOG","SER CONSTRUCTION SERVICES","#3 VALIENTE ST.","BAGONG ILOG","14.564276","121.07158"
"PURE ESSENCE INT`L. INC.","#4 AVIS ST., BAGONG ILOG","ES1 ESSENTIAL COMMODITIES(MANUFACTURER)","#4 AVIS ST.","BAGONG ILOG","14.561754","121.0709853"
"PRETIOLAS PHILIPPINES. INC.","#41 FELIPE PIKE ST., BAGONG ILOG","RET RETAILER; SSM BAKE SHOP; WSE WAREHOUSE","#41 FELIPE PIKE ST.","BAGONG ILOG","14.5672292","121.0693463"
"PHILIPPINE IRON CONSTRUCTION & MARINE WORKS, INC. (PICMW)","#6 JOE BORRIS ST., BAGONG ILOG","SER CONSTRUCTION SERVICES; WSR IMPORTER","#6 JOE BORRIS ST.","BAGONG ILOG","14.5707868","121.0733241"
"UNIVERSAL TESTING LABORATORY & INSPECTION, INC.","#7 E RODRIGUEZ AVENUE, BAGONG ILOG","WSE WAREHOUSE; SER LABORATORY SERVICES","#7 E RODRIGUEZ AVENUE","BAGONG ILOG","14.567594","121.070008"
"PHARMAHEX, INC","#7 E. RODRIGUEZ JR. AVE., BAGONG ILOG","BSM BIG SCALE MANUFACTURER; WSR IMPORTER","#7 E. RODRIGUEZ JR. AVE.","BAGONG ILOG","14.567594","121.070008"
